Name,Link,Short Description,Programming Language,List of tags
msysgit,https://github.com/github/msysgit,The version of msysGit that ships with GitHub for Windows,C,No tags provided
tainted_hash,https://github.com/github/tainted_hash,No short description given,Ruby,"ruby, rails, hash, input-sanitization"
freno-client,https://github.com/github/freno-client,"Ruby client and throttling library for freno, the throttler service",Ruby,"mysql, ruby, ruby-gem, high-availability, throttling, freno"
orchestrator-agent,https://github.com/github/orchestrator-agent,MySQL replication topology manager - agent (daemon),Go,No tags provided
github-ds,https://github.com/github/github-ds,A collection of Ruby libraries for working with SQL on top of ActiveRecord's connection,Ruby,"mysql, ruby, rails, activerecord, sql, key-value"
octobox,https://github.com/github/octobox,📮Untangle your GitHub Notifications,Ruby,No tags provided
review-pull-requests-at-github-template,https://github.com/github/review-pull-requests-at-github-template,Template for GitHub's Reviewing Pull Requests Learning Lab course. Course ➡️,HTML,"template, learning-lab"
babel-preset-github,https://github.com/github/babel-preset-github,GitHub.com's Babel configuration,JavaScript,"javascript, babel, configuration, babel-preset, transpiler"
libprojfs,https://github.com/github/libprojfs,Linux projected filesystem library,C,"git, filesystems, fuse-filesystem, vfsforgit"
git-sizer,https://github.com/github/git-sizer,"Compute various size metrics for a Git repository, flagging those that might cause problems",Go,"github, git, golang"
github-graphql-relay-example,https://github.com/github/github-graphql-relay-example,Example Relay Modern app using GitHub's GraphQL API,JavaScript,No tags provided
flit,https://github.com/github/flit,Twitch Twirp RPC implementation for Java,Java,No tags provided
hubot-slack,https://github.com/github/hubot-slack,No short description given,CoffeeScript,No tags provided
github-elements,https://github.com/github/github-elements,GitHub's Web Component collection.,Not given,"web-components, element-collection"
saml-ldap-team-sync,https://github.com/github/saml-ldap-team-sync,Sync GitHub teams to groups in Active Directory when using SAML,Python,No tags provided
proxysql,https://github.com/github/proxysql,High-performance MySQL proxy with a GPL license.,C++,No tags provided
babel-plugin-transform-invariant-location,https://github.com/github/babel-plugin-transform-invariant-location,Babel plugin that rewrites invariant calls with their source location,JavaScript,"flow, babel-plugin"
url-search-params,https://github.com/github/url-search-params,Simple polyfill for URLSearchParams standard,JavaScript,No tags provided
darrrr,https://github.com/github/darrrr,An SDK for the delegated recovery specfication,Ruby,"ruby, rails, sinatra, cryptography, facebook, authentication, ruby-on-rails"
smimesign,https://github.com/github/smimesign,An S/MIME signing utility for use with Git,Go,No tags provided
eventlistener-polyfill,https://github.com/github/eventlistener-polyfill,Polyfills EventListener behaviours from IE11 onward,JavaScript,No tags provided
balanced-employee-ip-agreement,https://github.com/github/balanced-employee-ip-agreement,"GitHub's employee IP agreement, open sourced and reusable",Not given,"law, policy"
s3gof3r,https://github.com/github/s3gof3r,"Fast, concurrent, streaming access to Amazon S3, including gof3r, a CLI. http://godoc.org/github.com/rlmcpherson/s3gof3r",Go,No tags provided
pages-health-check,https://github.com/github/pages-health-check,Checks your GitHub Pages site for common DNS configuration issues,Ruby,No tags provided
rollup.js,https://github.com/github/rollup.js,Next-generation ES module bundler,JavaScript,No tags provided
gh-mysql-tools,https://github.com/github/gh-mysql-tools,General purpose MySQL tools by GitHub Engineering,Shell,No tags provided
open-source-survey,https://github.com/github/open-source-survey,The Open Source Survey,Not given,"open-source, survey"
statsd-ruby,https://github.com/github/statsd-ruby,A Ruby Statsd client.,Ruby,No tags provided
webpack-config-github,https://github.com/github/webpack-config-github,An opinionated webpack config for GitHub apps.,JavaScript,No tags provided
github-services,https://github.com/github/github-services,Legacy GitHub Services Integration,Ruby,No tags provided
rundeck-chatops-plugin,https://github.com/github/rundeck-chatops-plugin,Rundeck workflow task plugin which executes a ChatOps RPC API call.,Java,No tags provided
github-graphql-rails-example,https://github.com/github/github-graphql-rails-example,Example Rails app using GitHub's GraphQL API,Ruby,No tags provided
puppet-consul_template,https://github.com/github/puppet-consul_template,A Puppet module to manage the config and jobs of Consul Template from Hashicorp,Puppet,No tags provided
jekyll-commonmark-ghpages,https://github.com/github/jekyll-commonmark-ghpages,CommonMark generator for Jekyll used by GitHub Pages,Ruby,No tags provided
OAuth-Ruby-Quickstart,https://github.com/github/OAuth-Ruby-Quickstart,Starter code and quickstart guide for a GitHub OAuth App in Ruby,HTML,No tags provided
invisible-recaptcha-validator,https://github.com/github/invisible-recaptcha-validator,Simple Express Server for invisible reCaptcha server-side validation,JavaScript,No tags provided
ghfw-build-extra,https://github.com/github/ghfw-build-extra,Build scripts and customizations for creating the Git Shell environment included in GitHub Desktop,Shell,No tags provided
hubot-mysql-datastore,https://github.com/github/hubot-mysql-datastore,MySQL-backed datastore for use with Hubot,JavaScript,No tags provided
testrepo,https://github.com/github/testrepo,DON'T DELETE THIS. USED FOR MONITORING AND WHATNOT.,C,No tags provided
