Name,Link,Short Description,Programming Language,List of tags
foreman,https://github.com/github/foreman,Manage Procfile-based applications,Ruby,No tags provided
git-msysgit,https://github.com/github/git-msysgit,GitHub version of msysgit/git,C,No tags provided
training.github.com,https://github.com/github/training.github.com,Legacy (no longer published) GitHub Training site,CSS,No tags provided
game-o,https://github.com/github/game-o,O! a Cut.js game,JavaScript,No tags provided
gollum,https://github.com/github/gollum,Unsupported — use https://github.com/gollum/gollum!,Ruby,No tags provided
MASPreferences,https://github.com/github/MASPreferences,Custom implementation of Preferences window in Cocoa applications for Mac OS X,Objective-C,No tags provided
backstop,https://github.com/github/backstop,HTTP service for submitting metrics to Graphite,Ruby,No tags provided
uiimage-from-animated-gif,https://github.com/github/uiimage-from-animated-gif,A UIImage category that loads animated GIFs,Objective-C,No tags provided
hubahuba,https://github.com/github/hubahuba,Ruby and Rails core extensions used by GitHub.,Ruby,No tags provided
teach.github.com,https://github.com/github/teach.github.com,The open source teaching materials site for Git and GitHub technologies,CSS,No tags provided
gitcasts,https://github.com/github/gitcasts,Educational screencasts about Git,CSS,No tags provided
htttee,https://github.com/github/htttee,unix's tee over http,Ruby,No tags provided
marginalia,https://github.com/github/marginalia,Attach comments to ActiveRecord's SQL queries,Ruby,No tags provided
buildstep,https://github.com/github/buildstep,Buildstep uses Docker and Buildpacks to build applications like Heroku,Shell,No tags provided
django-floppyforms,https://github.com/github/django-floppyforms,Full control of form rendering in the templates.,Python,No tags provided
rack-ssl-enforcer,https://github.com/github/rack-ssl-enforcer,A simple Rack middleware to enforce ssl connections,Ruby,No tags provided
gitscm-old,https://github.com/github/gitscm-old,Git homepage that rocks - from the git.or.cz awesomeness,Ruby,No tags provided
faceup,https://github.com/github/faceup,More than just mustaches.,JavaScript,No tags provided
aroma,https://github.com/github/aroma,"a game engine: lua, opengl es 2.0, native client",C,No tags provided
puppet-module-group,https://github.com/github/puppet-module-group,Puppet Group Module (custom group providers),Ruby,No tags provided
windows-msysgit,https://github.com/github/windows-msysgit,This repository is deprecated.,Perl,No tags provided
pycon2011,https://github.com/github/pycon2011,No short description given,Python,No tags provided
